date,employed_total,unemployed_total,unemployment_rate,participation_rate,labour_force_total
2019-01-01,12715762,676119,5.0487262,65.6092688,13391881
2019-02-01,12729930,668701,4.990817,65.529498,13398632
2019-03-01,12749056,684099,5.0926154,65.585595,13433155
2019-04-01,12785354,704470,5.2222297,65.7981228,13489824
2019-05-01,12791482,700914,5.1948819,65.7466196,13492396
2019-06-01,12804269,710937,5.260277,65.7937502,13515207
2019-07-01,12833860,715331,5.2795124,65.8604453,13549191
2019-08-01,12883012,715062,5.2585543,65.9992634,13598074
2019-09-01,12902573,711763,5.2280405,65.9795682,13614336
2019-10-01,12853406,719495,5.300969,65.6989908,13572902
2019-11-01,12875320,702173,5.1715945,65.6416023,13577493
2019-12-01,12930011,684894,5.0304717,65.7428413,13614905
2020-01-01,12929918,716491,5.2503979,65.7915728,13646409
2020-02-01,12936086,696770,5.1109591,65.6232627,13632855
2020-03-01,12926111,709065,5.2002608,65.5317642,13635175
2020-04-01,12346497,831155,6.3073056,63.3105199,13177652
2020-05-01,12049922,905120,6.9866216,62.2190571,12955042
2020-06-01,12279708,984832,7.4245435,63.683012,13264540
2020-07-01,12412721,998226,7.443364,64.3954962,13410947
2020-08-01,12552206,915263,6.7961039,64.6765414,13467469
2020-09-01,12519503,931808,6.9272651,64.6085637,13451311
2020-10-01,12657670,944977,6.947007,65.3305505,13602647
2020-11-01,12743993,930881,6.8072366,65.6725118,13674874
2020-12-01,12804020,896665,6.5446698,65.79153,13700685
2021-01-01,12843790,860524,6.2792171,65.7890287,13704314
2021-02-01,12888789,800712,5.8490972,65.6980306,13689501
2021-03-01,12954911,778793,5.6706667,65.8902159,13733703
2021-04-01,12947066,750432,5.4786082,65.6854222,13697498
2021-05-01,13034255,701600,5.1077974,65.838192,13735854
2021-06-01,13060257,690962,5.0247339,65.8806856,13751220
2021-07-01,13081133,649383,4.7294857,65.7602927,13730516
2021-08-01,12951855,621034,4.5755463,64.9844139,13572889
2021-09-01,12827122,633219,4.7043318,64.4247963,13460341
2021-10-01,12777795,705586,5.2330068,64.467401,13483381
2021-11-01,13146395,637986,4.628323,65.8375234,13784381
2021-12-01,13226323,579761,4.1993174,65.8721868,13806084
2022-01-01,13301800,578401,4.1670919,66.086678,13880201
2022-02-01,13357253,561619,4.0349459,66.1318529,13918872
2022-03-01,13391417,554661,3.9771841,66.1224878,13946078
2022-04-01,13447794,540820,3.8661439,66.2184316,13988614
2022-05-01,13480645,552399,3.9364136,66.3230248,14033043
2022-06-01,13585050,508472,3.6078442,66.5030102,14093522
2022-07-01,13590286,486097,3.4532786,66.2694097,14076383
2022-08-01,13664520,499966,3.5297133,66.5312158,14164486
2022-09-01,13674023,510648,3.5999976,66.4735304,14184670
2022-10-01,13712738,487560,3.4334478,66.3936333,14200298
2022-11-01,13784430,501446,3.5100788,66.640407,14285876
2022-12-01,13763626,502139,3.5198861,66.3941614,14265765
2023-01-01,13797121,525057,3.6660408,66.46104,14322178
2023-02-01,13832439,518328,3.6118515,66.398786,14350767
2023-03-01,13933699,518003,3.5843707,66.6706516,14451701
2023-04-01,13924095,538400,3.7227337,66.5755922,14462496
2023-05-01,14007101,520716,3.5842663,66.7313871,14527817
2023-06-01,14032266,512171,3.5214186,66.6633086,14544437
2023-07-01,14025517,542105,3.7213016,66.6008986,14567622
2023-08-01,14099401,539092,3.6827022,66.7562496,14638493
2023-09-01,14095850,520456,3.5607895,66.4875266,14616306
2023-10-01,14151497,555267,3.7755864,66.7745057,14706764
2023-11-01,14204196,580196,3.9243844,67.0022816,14784392
2023-12-01,14132652,585841,3.9803067,66.579951,14718493
2024-01-01,14126854,603804,4.0989635,66.4831071,14730659
2024-02-01,14249574,553731,3.7405917,66.6590428,14803305
2024-03-01,14234233,574911,3.8821345,66.5340334,14809144
2024-04-01,14258664,611124,4.1098344,66.727029,14869788
2024-05-01,14284684,595185,3.9999312,66.6929482,14879869
2024-06-01,14326083,602638,4.0367717,66.8325084,14928722
2024-07-01,14373434,631018,4.2055368,67.0695102,15004451
2024-08-01,14406971,620800,4.1310202,67.0718667,15027771
2024-09-01,14446667,604817,4.0183225,67.0759814,15051485
2024-10-01,14443883,615573,4.0876151,67.0198303,15059456
2024-11-01,14467802,591406,3.9272053,66.9272925,15059208
2024-12-01,14518701,603114,3.9883689,67.1139826,15121815
2025-01-01,14549786,625809,4.1237848,67.2164662,15175595
2025-02-01,14487931,614312,4.0676862,66.7565686,15102243
2025-03-01,14504391,613975,4.0611212,66.6932398,15118366
2025-04-01,14595140,621819,4.0863554,67.0505267,15216959
2025-05-01,14583326,623146,4.0979012,66.9268981,15206473
2025-06-01,14581073,658172,4.318931,66.9937317,15239245
2025-07-01,14611423,649127,4.2536263,66.9821252,15260550
2025-08-01,14597974,647980,4.2501789,66.8132262,15245954
2025-09-01,14610261,679238,4.4425105,66.8992455,15289498
2025-10-01,14647585,662279,4.3258293,66.888,15309863
2025-11-01,14618908,658356,4.3093863,66.6457275,15277265
2025-12-01,14684083,628563,4.1048613,66.7003034,15312646
